Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Type,City_Tier,Monthly_Income,Monthly_Expenses,Savings_Balance,Existing_Loan_Amount,Credit_Card_Utilization,Debt_to_Income_Ratio,Number_of_Open_Accounts,Number_of_Credit_Cards,Loan_Amount_Requested,Loan_Tenure_Months,Loan_Purpose,Interest_Rate,EMI,EMI_to_Income_Ratio,Credit_Score,Previous_Defaults,Payment_Delay_Days,Credit_History_Years,Recent_Credit_Inquiries,Online_Application,App_Login_Frequency,Document_Verification_Score,Address_Stability_Years,Job_Stability_Years,Loan_Default,Has_Credit_Card,Has_Personal_Loan,Has_Insurance,Has_Mutual_Fund,Has_Fixed_Deposit,Has_Gold_Loan,Has_Vehicle_Loan,Has_Home_Loan,Has_BNPL,Has_Overdraft
CUST00001,43,Male,Single,High School,Salaried,Tier 3,59340.0,28610.0,191571.0,0.0,74.8,0.087,4,3,181923.0,36,Home Renovation,7.5,5659.0,0.095,874.0,0,6.0,17.7,0,Yes,21,94.0,13.7,11.3,No,0,0,0,1,1,1,0,0,1,1
CUST00002,37,Male,Single,Graduate,Self-employed,Tier 3,36319.0,20934.0,154684.0,0.0,71.7,0.102,3,0,384578.0,24,Business,11.86,18078.0,0.498,721.0,0,12.0,4.4,0,No,14,85.0,0.0,2.7,No,0,0,1,1,0,0,0,0,1,0
CUST00003,44,Male,Divorced,High School,Salaried,Tier 1,73850.0,58910.0,47933.0,0.0,55.4,0.197,8,2,205141.0,36,Debt Consolidation,8.8,6504.0,0.088,,0,8.0,18.9,1,Yes,19,92.1,8.3,4.4,No,1,0,0,1,0,0,0,0,0,0
CUST00004,53,Male,Married,Graduate,Salaried,Tier 3,133670.0,59521.0,352395.0,0.0,77.6,0.137,8,1,87070.0,24,Debt Consolidation,7.55,3920.0,0.029,,0,1.0,27.4,2,No,10,75.0,27.0,23.0,No,1,1,1,1,0,0,1,1,1,0
CUST00005,36,Female,Single,Graduate,Salaried,Tier 3,51079.0,32733.0,120144.0,221301.0,54.4,0.416,6,0,106081.0,24,Vehicle,7.5,4774.0,0.093,811.0,0,11.0,4.4,2,No,11,86.2,1.3,4.4,No,0,0,0,0,1,0,0,0,1,0
CUST00006,36,Male,Married,High School,Self-employed,Tier 2,30669.0,22795.0,-60000.0,36083.0,97.6,0.431,3,2,378613.0,48,Vehicle,15.25,10585.0,0.345,606.0,1,41.0,13.0,1,No,15,94.6,6.8,7.0,Yes,0,1,1,0,0,0,0,0,0,0
CUST00007,54,Male,Married,Graduate,Salaried,Tier 3,108666.0,40886.0,,80661.0,31.8,0.105,7,3,180251.0,48,Debt Consolidation,10.15,4585.0,0.042,723.0,0,29.0,25.1,4,Yes,20,67.4,6.0,6.3,No,1,0,0,0,0,0,0,0,0,0
CUST00008,46,Female,Married,Post Graduate,Self-employed,Tier 3,70687.0,34099.0,47019.0,0.0,68.5,0.051,6,3,398155.0,6,Business,11.82,68666.0,0.971,693.0,0,10.0,12.1,1,No,13,88.5,9.0,10.3,No,1,1,1,0,0,0,0,0,0,0
CUST00009,33,Male,Single,High School,Salaried,Tier 2,34513.0,21328.0,152664.0,0.0,30.7,0.076,9,2,40000.0,48,Business,7.97,1000.0,0.029,771.0,0,3.0,3.2,1,No,16,100.0,2.2,6.2,No,1,0,0,1,0,0,0,0,0,1
CUST00010,43,Female,Single,Graduate,Salaried,Tier 3,120714.0,97614.0,105549.0,127155.0,54.1,0.195,9,3,464808.0,36,Business,11.12,15244.0,0.126,684.0,0,4.0,20.1,1,No,14,82.9,17.3,12.9,No,0,0,0,0,1,0,0,1,0,0
CUST00011,33,Female,Married,Professional,Salaried,Tier 3,34771.0,24077.0,152023.0,0.0,65.6,0.136,7,2,156977.0,6,Debt Consolidation,7.5,26738.0,0.769,875.0,0,0.0,6.2,1,No,7,75.2,12.9,9.4,Yes,1,0,1,0,1,0,0,0,0,1
CUST00012,33,Male,Married,Graduate,Salaried,Tier 3,62187.0,32039.0,53138.0,221349.0,34.9,0.369,6,6,179791.0,36,Education,7.5,5593.0,0.09,,0,4.0,8.5,3,Yes,18,83.5,12.6,7.6,No,0,0,1,0,0,0,0,0,0,0
CUST00013,40,Female,Married,Post Graduate,Salaried,Tier 3,106540.0,59254.0,313215.0,559078.0,29.5,0.571,6,0,225333.0,6,Wedding,10.61,38726.0,0.363,801.0,0,3.0,8.0,1,Yes,20,89.7,11.7,10.8,No,0,1,0,0,0,0,0,0,1,0
CUST00014,21,Female,Single,Post Graduate,Salaried,Tier 2,124694.0,45897.0,189423.0,55615.0,33.9,0.161,5,1,185681.0,36,Travel,14.26,6370.0,0.051,653.0,0,14.0,0.0,1,Yes,22,85.6,6.2,0.0,No,1,0,1,1,0,0,0,0,0,0
CUST00015,21,Male,Married,High School,Self-employed,Tier 1,27934.0,14787.0,124366.0,0.0,40.3,0.114,6,4,133391.0,24,Medical,10.36,6178.0,0.221,677.0,0,11.0,0.0,2,Yes,11,92.8,0.0,0.0,No,0,0,1,0,0,0,1,0,0,0
CUST00016,32,Male,Single,High School,Unemployed,Tier 1,12000.0,12889.0,41345.0,0.0,108.6,0.344,11,0,205353.0,48,Education,19.84,6231.0,0.519,532.0,1,48.0,4.3,0,Yes,13,73.9,3.5,0.3,Yes,0,0,1,0,0,0,0,1,1,0
CUST00017,28,Male,Married,Post Graduate,Business,Tier 3,338239.67007859284,42317.0,164034.0,212564.0,42.1,0.25,4,2,45319.0,48,Travel,13.05,1217.0,0.02,676.0,0,9.0,6.0,0,No,14,94.8,7.4,1.9,Yes,1,0,1,1,1,0,0,0,1,0
CUST00018,41,Female,Married,Post Graduate,Salaried,Tier 1,122283.0,66047.0,208685.0,78681.0,35.0,0.166,5,4,387841.0,48,Business,7.89,9448.0,0.077,799.0,0,6.0,6.2,4,Yes,17,67.4,0.0,,No,1,0,0,1,1,1,0,0,0,0
CUST00019,29,Female,Married,High School,Salaried,Tier 1,29328.0,8435.0,163065.0,85183.0,89.0,0.4,5,3,689800.0,36,Wedding,10.58,22446.0,0.765,734.0,0,1.0,6.7,1,No,10,82.6,0.0,0.0,No,0,0,1,0,0,0,0,0,0,0
CUST00020,24,Male,Single,Graduate,Salaried,Tier 2,66923.0,37596.0,52045.0,212084.0,32.5,0.389,7,2,197463.0,12,Vehicle,16.22,17937.0,0.268,607.0,1,22.0,1.1,4,Yes,20,75.8,0.0,0.0,Yes,1,0,0,0,0,0,0,0,0,0
